input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1
128,1,0,1272,0.0893
130,1,0,1270,0.0908
130,0,7,1270,0.0929
131,1,0,1269,0.0901
131,1,0,1269,0.0929
131,0,1,1270,0.0929
131,1,0,1269,0.0929
131,0,2539,1269,0.4496
131,1,0,1269,0.0922
132,1,0,1268,0.0908
132,1,0,1268,0.0908
132,1,0,1268,0.0922
132,1,0,1268,0.0922
132,1,0,1268,0.0915
133,1,0,1267,0.0944
133,1,0,1267,0.0922
133,1,0,1267,0.0915
133,1,0,1267,0.0944
134,1,0,1266,0.0951
134,0,22,1272,0.0893
134,1,0,1266,0.0951
134,1,0,1266,0.0944
135,1,0,1265,0.0951
135,1,0,1265,0.0951
135,1,0,1265,0.0922
135,1,0,1265,0.0951
135,0,2,1267,0.0929
135,1,0,1265,0.0936
135,1,0,1265,0.0958
135,1,0,1265,0.0951
136,1,0,1264,0.0965
136,1,0,1264,0.0965
136,1,0,1264,0.0958
136,1,0,1264,0.0965
136,1,0,1264,0.0958
136,1,0,1264,0.0965
136,1,0,1264,0.0936
136,1,0,1264,0.0965
137,1,0,1263,0.0958
137,0,2,1263,0.0944
137,1,0,1263,0.0965
137,1,0,1263,0.0965
137,1,0,1263,0.0951
137,1,0,1263,0.0958
138,1,0,1262,0.0979
138,1,0,1262,0.0979
138,1,0,1262,0.0972
138,1,0,1262,0.0972
138,1,0,1262,0.0979
138,1,0,1262,0.0979
138,1,0,1262,0.0965
138,0,16,1264,0.0965
138,0,6,1268,0.0944
138,1,0,1262,0.0979
138,1,0,1262,0.0979
138,1,0,1262,0.0979
138,0,4,1266,0.0929
138,1,0,1262,0.0979
138,1,0,1262,0.0979
139,1,0,1261,0.0979
139,1,0,1261,0.0972
139,1,0,1261,0.0958
139,0,2,1263,0.0929
139,0,1,1261,0.0979
140,1,0,1260,0.0994
140,0,5,1264,0.0965
140,1,0,1260,0.0994
140,1,0,1260,0.0994
140,1,0,1260,0.0979
140,1,0,1260,0.0994
140,1,0,1260,0.0994
140,1,0,1260,0.0972
140,1,0,1260,0.0994
140,1,0,1260,0.0994
140,1,0,1260,0.0994
141,0,5,1263,0.0958
141,1,0,1259,0.0972
142,1,0,1258,0.1008
142,1,0,1258,0.0972
142,1,0,1258,0.1008
142,1,0,1258,0.1001
142,1,0,1258,0.1008
142,1,0,1258,0.0986
142,1,0,1258,0.1008
142,1,0,1258,0.1001
142,1,0,1258,0.1008
142,1,0,1258,0.1001
142,1,0,1258,0.1008
142,1,0,1258,0.1008
142,1,0,1258,0.1008
142,1,0,1258,0.1008
143,1,0,1257,0.1015
143,1,0,1257,0.1008
143,1,0,1257,0.1008
143,1,0,1257,0.0986
144,1,0,1256,0.1001
144,1,0,1256,0.1022
144,1,0,1256,0.1022
144,1,0,1256,0.1015
144,1,0,1256,0.1001
144,1,0,1256,0.1015
144,1,0,1256,0.1022
144,1,0,1256,0.1001
144,0,10,1258,0.1001
144,1,0,1256,0.1015
144,0,4,1260,0.0979
144,1,0,1256,0.1022
144,1,0,1256,0.1022
144,0,13,1266,0.0979
144,1,0,1256,0.1015
145,1,0,1255,0.1015
145,0,4,1259,0.1008
145,1,0,1255,0.1022
146,0,18,1265,0.0965
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1015
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1001
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1022
146,1,0,1254,0.1036
146,1,0,1254,0.1036
146,1,0,1254,0.1036
147,1,0,1253,0.1044
147,1,0,1253,0.1022
147,0,4,1257,0.1022
147,0,4,1259,0.1008
147,1,0,1253,0.1029
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1029
148,0,2,1256,0.1008
148,0,5,1257,0.1008
148,1,0,1252,0.1036
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,0,13,1252,0.1079
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1044
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
148,1,0,1252,0.1051
149,1,0,1251,0.1036
149,1,0,1251,0.1036
149,0,1,1253,0.1036
149,1,0,1251,0.1044
149,1,0,1251,0.1044
149,1,0,1251,0.1051
149,1,0,1251,0.1022
150,0,10,1250,0.1072
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,1,0,1250,0.1058
150,1,0,1250,0.1065
150,1,0,1250,0.1058
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,0,5250,1250,0.9271
150,1,0,1250,0.1065
150,0,5250,1250,0.9528
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,0,10,1250,0.1072
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,0,4,1254,0.1044
150,1,0,1250,0.1065
150,0,4,1254,0.1036
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,1,0,1250,0.1065
150,1,0,1250,0.1065
175,0,4,1229,0.1215
176,1,0,1224,0.1237
176,1,0,1224,0.1237
177,1,0,1223,0.1237
178,0,4,1226,0.1251
178,1,0,1222,0.1258
178,0,4,1226,0.1237
179,0,4,1225,0.1251
179,1,0,1221,0.1265
180,1,0,1220,0.1265
180,1,0,1220,0.1258
180,0,4,1224,0.1244
180,0,1,1221,0.1237
180,0,2,1222,0.1265
180,1,0,1220,0.1258
180,1,0,1220,0.1258
180,0,15,1222,0.1258
181,0,1,1220,0.1272
181,1,0,1219,0.1265
181,1,0,1219,0.1265
181,1,0,1219,0.1258
183,1,0,1217,0.1294
183,1,0,1217,0.1279
183,1,0,1217,0.1287
183,1,0,1217,0.1258
184,0,2,1220,0.1272
184,1,0,1216,0.1294
184,1,0,1216,0.1294
185,1,0,1215,0.1301
185,1,0,1215,0.1279
185,1,0,1215,0.1279
185,1,0,1215,0.1301
185,1,0,1215,0.1294
186,0,10,1214,0.133
186,1,0,1214,0.1308
186,1,0,1214,0.1308
186,0,21,1214,0.1344
186,1,0,1214,0.1322
187,1,0,1213,0.1315
187,0,1215,1215,0.975
187,1,0,1213,0.1322
188,0,31,1212,0.1372
188,1,0,1212,0.1337
188,1,0,1212,0.1337
188,0,10,1212,0.1344
188,1,0,1212,0.1337
188,1,0,1212,0.1308
188,1,0,1212,0.1337
188,1,0,1212,0.133
188,1,0,1212,0.1337
189,1,0,1211,0.1337
189,1,0,1211,0.133
189,1,0,1211,0.1315
189,0,6,1217,0.1315
189,1,0,1211,0.1337
189,1,0,1211,0.1315
189,0,2,1215,0.1308
189,1,0,1211,0.1322
190,1,0,1210,0.1344
190,1,0,1210,0.1351
190,1,0,1210,0.1344
190,0,10,1210,0.1358
190,1,0,1210,0.1351
190,1,0,1210,0.1344
190,0,4,1214,0.133
190,0,10,1210,0.1358
190,1,0,1210,0.1351
191,0,1210,1209,0.9107
191,0,1,1211,0.133
191,0,1215,1213,0.9757
191,1,0,1209,0.1344
