input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1,accept_rate_2,accept_rate_3,accept_rate_4,accept_rate_5
128,0,1272,1272,0.7577,0.578,0.1918,0.3345,0.1004
130,0,1270,1270,0.7119,0.6166,0.3744,0.1805,0.233
130,0,1271,1270,0.6212,0.113,0.1489,0.1827,0.1907
131,0,1340,1269,0.8899,0.8183,0.7316,0.5838,0.395
131,0,1367,1269,0.634,0.4585,0.2777,0.1562,0.081
131,0,1362,1271,0.659,0.6445,0.3536,0.139,0.0789
131,0,1395,1269,0.8363,0.7825,0.6192,0.4936,0.3369
131,0,1375,1269,0.6376,0.4421,0.2341,0.1554,0.1706
131,0,1344,1269,0.8006,0.6409,0.3543,0.308,0.1297
132,0,1268,1268,0.4911,0.1009,0.0866,0.101,0.1111
132,0,1333,1268,0.8349,0.7382,0.6034,0.5344,0.5018
132,0,1324,1268,0.8899,0.809,0.6657,0.5265,0.3627
132,0,1341,1268,0.8956,0.8519,0.7316,0.6239,0.5642
132,0,1309,1268,0.9185,0.8534,0.8139,0.7056,0.4258
133,0,1314,1267,0.9078,0.814,0.5361,0.5279,0.1785
133,0,1350,1268,0.965,0.8777,0.7631,0.7414,0.3319
133,0,1305,1267,0.9071,0.834,0.7008,0.5265,0.4244
133,0,1267,1267,0.8177,0.4113,0.2906,0.1633,0.271
134,0,3671,1266,0.9135,0.8798,0.7223,0.7779,0.6373
134,0,3396,1266,0.6512,0.8512,0.6249,0.6175,0.7792
134,0,3404,1266,0.7076,0.819,0.6149,0.5014,0.7348
134,0,1424,1266,0.7219,0.4335,0.2276,0.2185,0.0781
135,0,1323,1265,0.9135,0.8305,0.7366,0.7085,0.5247
135,0,1362,1265,0.659,0.5186,0.315,0.2049,0.1326
135,0,1349,1265,0.6962,0.397,0.2269,0.1361,0.1384
135,0,1311,1265,0.7534,0.6338,0.5218,0.4427,0.3498
135,0,1267,1265,0.8184,0.6416,0.3822,0.2436,0.2452
135,0,1342,1269,0.8385,0.7175,0.4639,0.4176,0.2703
135,0,1404,1265,0.8456,0.721,0.6299,0.447,0.2803
135,0,1315,1265,0.7527,0.6502,0.5827,0.5308,0.3928
136,0,3516,1264,0.6669,0.6466,0.5354,0.5208,0.5025
136,0,3383,1264,0.8427,0.731,0.4545,0.4491,0.4344
136,0,1412,1264,0.7791,0.4993,0.3844,0.2393,0.1878
136,0,3924,1264,0.8156,0.8763,0.6901,0.697,0.7541
136,0,1264,1264,0.4618,0.3598,0.2398,0.091,0.2315
136,0,1406,1264,0.9364,0.6509,0.4345,0.3309,0.3326
136,0,1270,1270,0.2866,0.1059,0.1296,0.361,0.1885
136,0,3627,1264,0.9042,0.8462,0.7029,0.7428,0.6172
137,0,1331,1263,0.8106,0.6731,0.6142,0.5079,0.4573
137,0,1369,1263,0.8892,0.8398,0.6858,0.5788,0.4509
137,0,1281,1268,0.7034,0.6359,0.4717,0.4226,0.2616
137,0,1304,1266,0.8535,0.7396,0.6256,0.3481,0.2602
137,0,1374,1264,0.9678,0.8004,0.6421,0.5702,0.4538
137,0,1364,1279,0.7584,0.6681,0.4409,0.25,0.1154
138,0,4697,1262,0.8856,0.8727,0.8096,0.8138,0.7771
138,0,4584,1262,0.9199,0.9156,0.8475,0.8424,0.7907
138,0,1258,1262,0.9628,0.9406,0.456,0.0946,0.1885
138,0,1395,1262,0.9164,0.7361,0.5655,0.4441,0.2129
138,0,5189,1262,0.8485,0.8441,0.816,0.8231,0.8229
138,0,1316,1262,0.8685,0.6638,0.4925,0.4792,0.4244
138,0,1359,1262,0.7112,0.3934,0.262,0.2285,0.1082
138,0,4834,1262,0.9121,0.8984,0.8282,0.8417,0.8007
138,0,1374,1262,0.9392,0.7718,0.645,0.51,0.41
138,0,4663,1262,0.9192,0.8956,0.8139,0.8309,0.7799
138,0,4954,1262,0.8971,0.8884,0.8354,0.8603,0.8122
138,0,3399,1262,0.6447,0.9249,0.6793,0.6003,0.7728
